Part;;Value;Device;Package;Description
D1;D;1;MBRS340T3;SMC;
DC1;D;TMH2405S;NMA;NMA;DC-DC CONVERTER
DC2;D;;NMA;NMA;DC-DC CONVERTER
IC1;I;ATMEGA644A;ATMEGA644A;TQFP44;8-bit Microcontroller with 64K Bytes In-System Programmable Flash
IC2;I;MAX481CSA;MAX481CSA;SO08;RS485 TRANSEIVER
IC3;I;MAX481CSA;MAX481CSA;SO08;RS485 TRANSEIVER
IC4;I;MEGA8-AI;MEGA8-AI;TQFP32-08;MICROCONTROLLER
IC5;I;FT232RL;FT232RL;SSOP28;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf
J1;J;;VG32SP;VG32P;PCB EUROCARD, 32-pin type C/AC, 5.08 mm
J2;J;J10MM;J10MM;10;Bridge
JP1;J;;JP2E;JP2;JUMPER
1.I;4;L-3P90-YELLOW;L-3P90-YELLOW;L-3P90;
1.II;4;L-3P90-GREEN;L-3P90-GREEN;L-3P90;
1.III;4;L-3P90-RED;L-3P90-RED;L-3P90;
1.IV;4;L-3P90-GREEN;L-3P90-GREEN;L-3P90;
OK1;O;6N137;6N137;DIL08;MOTOROLA OPTO COUPLER
OK2;O;6N137;6N137;DIL08;MOTOROLA OPTO COUPLER
OK3;O;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK4;O;PC817;PC817;DIL04;SHARP OPTO COUPLER
Q1;Q;14.7456;XTAL;HC49U70;
R23;R;100k;R-EU_R1206;R1206;RESISTOR, European symbol
R14;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R15;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R16;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R17;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R24;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R26;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R8;R;10k;R-EU_R1206;R1206;RESISTOR, European symbol
R39;R;10M;R-EU_R1206;R1206;RESISTOR, European symbol
